,full_name,id,url,stars
0,webpack/webpack,3678731,https://api.github.com/repos/webpack/webpack,61251
1,DefinitelyTyped/DefinitelyTyped,6093316,https://api.github.com/repos/DefinitelyTyped/DefinitelyTyped,39615
2,facebook/react,10270250,https://api.github.com/repos/facebook/react,190176
3,facebook/jest,15062869,https://api.github.com/repos/facebook/jest,39395
4,eslint/eslint,11061773,https://api.github.com/repos/eslint/eslint,20749
5,ReactiveX/rxjs,32247847,https://api.github.com/repos/ReactiveX/rxjs,27181
6,moment/moment,1424470,https://api.github.com/repos/moment/moment,46600
7,babel/babel,24560307,https://api.github.com/repos/babel/babel,40992
8,microsoft/TypeScript,20929025,https://api.github.com/repos/microsoft/TypeScript,81620
9,prettier/prettier,75104123,https://api.github.com/repos/prettier/prettier,43129
10,mochajs/mocha,1451352,https://api.github.com/repos/mochajs/mocha,21447
11,chalk/chalk,11855195,https://api.github.com/repos/chalk/chalk,18650
12,lodash/lodash,3955647,https://api.github.com/repos/lodash/lodash,53510
13,tj/commander.js,2206953,https://api.github.com/repos/tj/commander.js,22901
14,typescript-eslint/typescript-eslint,165536154,https://api.github.com/repos/typescript-eslint/typescript-eslint,11746
15,webpack/webpack-dev-server,5839692,https://api.github.com/repos/webpack/webpack-dev-server,7405
16,jprichardson/node-fs-extra,2791348,https://api.github.com/repos/jprichardson/node-fs-extra,8516
17,isaacs/node-glob,357681,https://api.github.com/repos/isaacs/node-glob,7545
18,vuejs/vue,11730342,https://api.github.com/repos/vuejs/vue,197003
19,babel/babel-loader,24963784,https://api.github.com/repos/babel/babel-loader,4634
20,postcss/autoprefixer,8768406,https://api.github.com/repos/postcss/autoprefixer,20409
21,gulpjs/gulp,11167738,https://api.github.com/repos/gulpjs/gulp,32548
22,webpack-contrib/css-loader,3954884,https://api.github.com/repos/webpack-contrib/css-loader,4129
23,caolan/async,698041,https://api.github.com/repos/caolan/async,27600
24,expressjs/express,237159,https://api.github.com/repos/expressjs/express,57395
25,zloirock/core-js,11481338,https://api.github.com/repos/zloirock/core-js,16907
26,airbnb/javascript,6498492,https://api.github.com/repos/airbnb/javascript,124150
27,import-js/eslint-plugin-import,32238354,https://api.github.com/repos/import-js/eslint-plugin-import,4106
28,sinonjs/sinon,747698,https://api.github.com/repos/sinonjs/sinon,9023
29,chaijs/chai,2931111,https://api.github.com/repos/chaijs/chai,7600
30,jsx-eslint/eslint-plugin-react,28061676,https://api.github.com/repos/jsx-eslint/eslint-plugin-react,7834
31,debug-js/debug,2871998,https://api.github.com/repos/debug-js/debug,10201
32,karma-runner/karma,2560988,https://api.github.com/repos/karma-runner/karma,11695
33,sass/node-sass,4128353,https://api.github.com/repos/sass/node-sass,8153
34,axios/axios,23088740,https://api.github.com/repos/axios/axios,94084
35,webpack-contrib/postcss-loader,24763574,https://api.github.com/repos/webpack-contrib/postcss-loader,2781
36,TypeStrong/ts-node,39111193,https://api.github.com/repos/TypeStrong/ts-node,10459
37,postcss/postcss,13078968,https://api.github.com/repos/postcss/postcss,26366
38,substack/tape,6853358,https://api.github.com/repos/substack/tape,5638
39,typicode/husky,21125024,https://api.github.com/repos/typicode/husky,26842
40,rollup/rollup,35640229,https://api.github.com/repos/rollup/rollup,21745
41,webpack-contrib/sass-loader,16665655,https://api.github.com/repos/webpack-contrib/sass-loader,3778
42,prettier/eslint-config-prettier,80369237,https://api.github.com/repos/prettier/eslint-config-prettier,3847
43,angular/angular,24195339,https://api.github.com/repos/angular/angular,82093
