issue_url,issue_title,manual,cve_id
https://api.github.com/repos/AFNetworking/AFNetworking/issues/2856,Removed Certificate Chain Validation,ok,nan
https://api.github.com/repos/AFNetworking/AFNetworking/issues/2733,Implemented Public Key Hash Pinning,ok,nan
https://api.github.com/repos/Alamofire/Alamofire/issues/537,Allow NSURLCredential persistence to be specified,ok,nan
https://api.github.com/repos/Automattic/wp-calypso/issues/61766,Ensure we refetch account recovery data after reauthorizing,ok,nan
https://api.github.com/repos/Automattic/wp-calypso/issues/36809,2fa: The SMS fallback option is shown even when a given WP.com account doesn't use SMS as second factor,ok,nan
https://api.github.com/repos/Automattic/wp-calypso/issues/26882,Qatar Phone Number not validating for 2FA,ok,nan
https://api.github.com/repos/Automattic/wp-calypso/issues/23346,Security: Verify phone number given when selecting 2FA by app.,ok,nan
https://api.github.com/repos/Automattic/wp-calypso/issues/22572,Security: 2FA switching phones is cumbersome,ok,nan
https://api.github.com/repos/CachetHQ/Cachet/issues/411,Protect edit user routes,ok,nan
https://api.github.com/repos/CleverRaven/Cataclysm-DDA/issues/58682,Infrared vision does not obey FoV restrictions,ok,nan
https://api.github.com/repos/CleverRaven/Cataclysm-DDA/issues/50953,Generic Guns mod breaks some recipes,ok,nan
https://api.github.com/repos/CleverRaven/Cataclysm-DDA/issues/50730,Character creation recipes stay if skill in increased to max then decreased,ok,nan
https://api.github.com/repos/CleverRaven/Cataclysm-DDA/issues/47569,Infinite Bartering,ok,nan
https://api.github.com/repos/Graylog2/graylog2-server/issues/8988,Fix path traversal in swagger resource. (3.3),ok,nan
https://api.github.com/repos/JuliaLang/julia/issues/42415,stegr! call segfault,ok,nan
https://api.github.com/repos/JuliaLang/julia/issues/28435,Private package add emits SecretBuffer exposure warning,ok,nan
https://api.github.com/repos/OrchardCMS/OrchardCore/issues/2177,Security sensitive permissions,ok,nan
https://api.github.com/repos/OrchardCMS/OrchardCore/issues/1966,the key ring of DataProtection is potentially shared between tenants,ok,nan
https://api.github.com/repos/PrivateBin/PrivateBin/issues/91,Additional headers for XSS mitigation,ok,nan
https://api.github.com/repos/PrivateBin/PrivateBin/issues/27,Switch to AES GCM,ok,nan
https://api.github.com/repos/SerenityOS/serenity/issues/4876,LibCore: EventLoop::start_rpc_server TOCTOU race condition may lead to arbitrary chmod/unlink,ok,nan
https://api.github.com/repos/SignalR/SignalR/issues/1413,Add CSRF protection for SignalR requests,ok,nan
https://api.github.com/repos/StackStorm/st2/issues/5183,Added web security headers for nginx configuration,ok,nan
https://api.github.com/repos/TrinityCore/TrinityCore/issues/21044,Core/Movements: Speed exploit,ok,nan
https://api.github.com/repos/TrinityCore/TrinityCore/issues/16347,[3.3.5][6.x] Core/Spell: Val'kyr Target Search,ok,nan
https://api.github.com/repos/allinurl/goaccess/issues/1867,XSS on real-time HTML report,ok,nan
https://api.github.com/repos/andOTP/andOTP/issues/378,AuthenticationActivity is missing secure flag and can be screencaptured,ok,nan
https://api.github.com/repos/ansible/ansible/issues/67937,[stable-2.8] win_unzip - normalize and compare paths to prevent path traversal (#67799),ok, CVE-2020-1737 
https://api.github.com/repos/ansible/ansible/issues/67801,fetch - normalize and validate paths,ok, CVE-2020-1735 
https://api.github.com/repos/ansible/ansible/issues/67798,ansible-vault edit race condition,ok, CVE-2020-1740 
https://api.github.com/repos/apache/druid/issues/10874,Filter unauthorized views in InformationSchema,ok,nan
https://api.github.com/repos/apache/openwhisk/issues/3603,"Java root processes from kafka, controller and invoker",ok,nan
